Epoch 00234 | Loss 0.5264 | Test Acc 0.9375 | Time(s) 0.0394
Epoch 00235 | Loss 0.5252 | Test Acc 0.9375 | Time(s) 0.0394
Epoch 00236 | Loss 0.5240 | Test Acc 0.9375 | Time(s) 0.0394
Epoch 00237 | Loss 0.5228 | Test Acc 0.9375 | Time(s) 0.0394
Epoch 00238 | Loss 0.5216 | Test Acc 0.9375 | Time(s) 0.0394
Epoch 00239 | Loss 0.5203 | Test Acc 0.9375 | Time(s) 0.0394
Epoch 00240 | Loss 0.5191 | Test Acc 0.9375 | Time(s) 0.0394
Epoch 00241 | Loss 0.5178 | Test Acc 0.9375 | Time(s) 0.0394
Epoch 00242 | Loss 0.5166 | Test Acc 0.9375 | Time(s) 0.0394
Epoch 00243 | Loss 0.5153 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00244 | Loss 0.5141 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00245 | Loss 0.5128 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00246 | Loss 0.5116 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00247 | Loss 0.5103 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00248 | Loss 0.5090 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00249 | Loss 0.5077 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00250 | Loss 0.5065 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00251 | Loss 0.5052 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00252 | Loss 0.5039 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00253 | Loss 0.5026 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00254 | Loss 0.5013 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00255 | Loss 0.5000 | Test Acc 0.9375 | Time(s) 0.0393
Epoch 00256 | Loss 0.4987 | Test Acc 0.9375 | Time(s) 0.0392
Epoch 00257 | Loss 0.4974 | Test Acc 0.9375 | Time(s) 0.0392
Epoch 00258 | Loss 0.4961 | Test Acc 0.9375 | Time(s) 0.0392
